ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a Public School based table with the following filters applied: State(s) (All Years): All 50 + DC

School Name,State Name [Public School] Latest available year,State Name [Public School] 2016-17,School ID (12-digit) - NCES Assigned [Public School] Latest available year,Location City [Public School] 2016-17,Location State Abbr [Public School] 2016-17,Location ZIP [Public School] 2016-17,Grade 12 offered [Public School] 2016-17,Grade 11 offered [Public School] 2016-17,Pupil/Teacher Ratio [Public School] 2016-17
KASSON-MANTORVILLE MIDDLE SCHOOL,Minnesota,MINNESOTA,271698002243,KASSON,MN ,55944,2-No,2-No,22.55
KASSON-MANTORVILLE SENIOR HIGH,Minnesota,MINNESOTA,271698000784,KASSON,MN ,55944,1-Yes,1-Yes,18.85
KASTNER INTERMEDIATE,California,CALIFORNIA,060903008810,Fresno,CA ,93720,2-No,2-No,24.19
KASUUN ELEMENTARY,Alaska,ALASKA,020018000147,Anchorage,AK ,99507,2-No,2-No,17.82
KATAHDIN ELEMENTARY SCHOOL,Maine,MAINE,231480600398,Stacyville,ME ,04777,2-No,2-No,13.33
KATAHDIN MIDDLE/HIGH SCHOOL,Maine,MAINE,231480600397,Stacyville,ME ,04777,1-Yes,1-Yes,10.96
KATE BOND ELEMENTARY SCHOOL,Tennessee,TENNESSEE,470014802079,Bartlett,TN ,38133,2-No,2-No,13.49
KATE BOND MIDDLE SCHOOL,Tennessee,TENNESSEE,470014802272,Memphis,TN ,38133,2-No,2-No,17.47
KATE COLLINS MIDDLE,Virginia,VIRGINIA,510393001755,Waynesboro,VA ,22980,2-No,2-No,13.95
KATE D SMITH DAR ELEMENTARY SCHOOL,Alabama,ALABAMA,010000601685,Grant,AL ,35747,2-No,2-No,17.52
KATE D SMITH DAR HIGH SCHOOL,Alabama,ALABAMA,010000600883,Grant,AL ,35747,1-Yes,1-Yes,18.98
KATE DOWDALL ELEMENTARY SCHOOL,Michigan,MICHIGAN,262007005690,FLINT,MI ,48506,1-Yes,1-Yes,21.94
KATE DUNCAN SMITH DAR MIDDLE,Alabama,ALABAMA,010000600193,Grant,AL ,35747,2-No,2-No,22.63
KATE FURBISH ELEMENTARY SCHOOL,Maine,MAINE,230378000097,Brunswick,ME ,04011,2-No,2-No,10.30
KATE GOODRICH ELEMENTARY,Wisconsin,WISCONSIN,550921001490,Merrill,WI ,54452,2-No,2-No,13.90
KATE M. SMITH ELEMENTARY SCHOOL,Florida,FLORIDA,120201002028,CHIPLEY,FL ,32428,2-No,2-No,13.98
KATE SHEPARD ELEMENTARY SCHOOL,Alabama,ALABAMA,010237000956,Mobile,AL ,36693,2-No,2-No,18.27
KATE SMITH ELEMENTARY,Nevada,NEVADA,320048000227,Sparks,NV ,89431,2-No,2-No,18.32
KATE SULLIVAN ELEMENTARY SCHOOL,Florida,FLORIDA,120111001163,TALLAHASSEE,FL ,32308,2-No,2-No,14.98
KATE WALLER BARRETT ELEMENTARY,Virginia,VIRGINIA,510366002320,Stafford,VA ,22554,2-No,2-No,20.15
KATELLA HIGH,California,CALIFORNIA,060263000176,Anaheim,CA ,92806,1-Yes,1-Yes,27.80
KATHARINE D MALONE ELEMENTARY SCHOOL,New Jersey,NEW JERSEY,341413004518,ROCKAWAY,NJ ,07866,2-No,2-No,9.85
KATHARINE DREXEL ELEMENTARY SCHOOL,Louisiana,LOUISIANA,220087000670,Broussard,LA ,70518,2-No,2-No,18.40
KATHARINE LEE BATES,Massachusetts,MASSACHUSETTS,251227002025,Wellesley,MA ,02481,2-No,2-No,15.11
KATHERINE ANNE PORTER SCHOOL,Texas,TEXAS,480013208279,WIMBERLEY,TX ,78676,1-Yes,1-Yes,9.10
KATHERINE B. SUTTON ELEMENTARY SCHOOL,Georgia,GEORGIA,130372003839,Forsyth,GA ,31029,2-No,2-No,14.47
KATHERINE DUNN ELEMENTARY,Nevada,NEVADA,320048000319,Sparks,NV ,89434,2-No,2-No,19.50
KATHERINE EDWARDS MID SCH STEAM & DUAL IMMERSION ACAD,California,CALIFORNIA,064245006937,Whittier,CA ,90606,2-No,2-No,23.88
KATHERINE ELEMENTARY,California,CALIFORNIA,063684006258,Simi Valley,CA ,93063,2-No,2-No,28.31
KATHERINE FINCHY ELEMENTARY,California,CALIFORNIA,062955004567,Palm Springs,CA ,92262,2-No,2-No,25.92
KATHERINE GALLEGOS ELEMENTARY,New Mexico,NEW MEXICO,350168000722,LOS LUNAS,NM ,87031,2-No,2-No,19.29
KATHERINE H HANKINS MIDDLE SCHOOL,Alabama,ALABAMA,010237000961,Theodore,AL ,36582,2-No,2-No,20.19
KATHERINE I DAILY ES,Oklahoma,OKLAHOMA,402163001063,Noble,OK ,73068,2-No,2-No,18.78
KATHERINE JOHNSON ELEMENTARY,Virginia,VIRGINIA,510264001061,Newport News,VA ,23603,2-No,2-No,15.29
KATHERINE JOHNSON GLOBAL ACADEMY,Maryland,MARYLAND,240009000164,Baltimore,MD ,21216,2-No,2-No,16.54
KATHERINE L. ALBIANI MIDDLE,California,CALIFORNIA,061233011066,Elk Grove,CA ,95624,2-No,2-No,22.86
KATHERINE R. SMITH ELEMENTARY,California,CALIFORNIA,061314001496,San Jose,CA ,95122,2-No,2-No,31.21
KATHERINE STEPHENS EL,Texas,TEXAS,482034006935,ROWLETT,TX ,75088,2-No,2-No,15.96
KATHERINE THOMAS ELEMENTARY SCHOOL,Ohio,OHIO,390456602325,Windham,OH ,44288,2-No,2-No,13.61
KATHLEEN E. GOODWIN SCHOOL,Connecticut,CONNECTICUT,090318000681,Old Saybrook,CT ,06475,2-No,2-No,9.26
KATHLEEN ELEMENTARY SCHOOL,Florida,FLORIDA,120159001768,LAKELAND,FL ,33810,2-No,2-No,17.39
KATHLEEN GRIMM SCHOOL FOR LEADERSHIP,NEW YORK,NEW YORK,360010306546,STATEN ISLAND,NY ,10309,2-No,2-No,11.69
KATHLEEN H. RYERSON ELEMENTARY SCHOOL,Connecticut,CONNECTICUT,090228000413,Madison,CT ,06443,2-No,2-No,11.03
KATHLEEN JOERGER LINDSEY EL,TEXAS,TEXAS,482658013544,KATY,TX ,77494,–,–,†
KATHLEEN MIDDLE SCHOOL,Florida,FLORIDA,120159001767,LAKELAND,FL ,33810,2-No,2-No,13.93
KATHLEEN SENIOR HIGH SCHOOL,Florida,FLORIDA,120159001766,LAKELAND,FL ,33815,1-Yes,1-Yes,21.11
KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,Texas,TEXAS,481623012028,DALLAS,TX ,75241,1-Yes,1-Yes,18.20
KATHRYN D. MARKLEY EL SCH,Pennsylvania,PENNSYLVANIA,421087006479,Malvern,PA ,19355,2-No,2-No,12.53
KATHRYN GRIFFIS EL,Texas,TEXAS,481239012232,CADDO MILLS,TX ,75135,2-No,2-No,13.18
KATHRYN HUGHES ELEMENTARY,California,CALIFORNIA,063543006041,Santa Clara,CA ,95054,2-No,2-No,28.90
KATHRYN JONES HARRISON ELEMENTARY SCHOOL,Oregon,OREGON,410348000042,Corvallis,OR ,97330,2-No,2-No,17.52
KATHRYN O'LOUGHLIN MCCARTHY ELEM,Kansas,KANSAS,200702001680,Hays,KS ,67601,2-No,2-No,17.55
KATHRYN P. STOKLOSA MIDDLE SCHOOL,Massachusetts,MASSACHUSETTS,250702001955,Lowell,MA ,01854,2-No,2-No,13.51
KATHRYN SENOR ELEMENTARY SCHOOL,Colorado,COLORADO,080624001598,NEW CASTLE,CO ,81647,2-No,2-No,16.60
KATHRYN SUE SIMONTON ELEMENTARY,Arizona,ARIZONA,040399003067,Queen Creek,AZ ,85240,2-No,2-No,21.47
KATHRYN WINN PRIMARY,Kentucky,KENTUCKY,210099000189,Carrollton,KY ,41008,2-No,2-No,14.84
KATHY BINKS ELEMENTARY,California,CALIFORNIA,061392011962,Fontana,CA ,92336,2-No,2-No,25.95
KATHY CARAWAY EL,Texas,TEXAS,483808004252,AUSTIN,TX ,78759,2-No,2-No,15.97
KATIE HARPER-WRIGHT ELEM,Illinois,ILLINOIS,171332005849,East Saint Louis,IL ,62203,2-No,2-No,14.93
KATO PUBLIC CHARTER SCHOOL,Minnesota,MINNESOTA,270022603471,MANKATO,MN ,56001,1-Yes,1-Yes,9.15
KATONAH ELEMENTARY SCHOOL,New York,NEW YORK,361608001391,KATONAH,NY ,10536,2-No,2-No,12.44
KATY EL,Texas,TEXAS,482517002808,KATY,TX ,77493,2-No,2-No,15.66
KATY H S,Texas,TEXAS,482517002809,KATY,TX ,77494,1-Yes,1-Yes,16.84
KATY J H,Texas,TEXAS,482517002810,KATY,TX ,77493,2-No,2-No,15.26
KATZ EDYTHE & LLOYD ES,Nevada,NEVADA,320006000265,Las Vegas,NV ,89128,2-No,2-No,18.89
KAU HIGH & PAHALA ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000038,Pahala,HI ,96777,1-Yes,1-Yes,12.33
KAUAI HIGH SCHOOL,Hawaii,HAWAII,150003000086,Lihue,HI ,96766,1-Yes,1-Yes,15.80
KAUFER H S,Texas,TEXAS,483732004193,RIVIERA,TX ,78379,1-Yes,1-Yes,9.85
KAUFFMAN LEADERSHIP ACADEMY,TEXAS,TEXAS,480145513372,CLEBURNE,TX ,76031,2-No,2-No,8.79
KAUFMAN EL,Texas,TEXAS,481500011309,SPRING,TX ,77386,2-No,2-No,16.26
KAUFMAN H S,Texas,TEXAS,482520002816,KAUFMAN,TX ,75142,1-Yes,1-Yes,15.61
KAUKAUNA HIGH,Wisconsin,WISCONSIN,550729000793,Kaukauna,WI ,54130,1-Yes,1-Yes,17.59
KAULUWELA ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000206,Honolulu,HI ,96817,2-No,2-No,18.60
KAUMANA ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000039,Hilo,HI ,96720,2-No,2-No,16.35
KAUNAKAKAI ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000062,Kaunakakai,HI ,96748,2-No,2-No,14.20
KAURI SUE HAMILTON,Utah,UTAH,490042001336,RIVERTON,UT ,84065,1-Yes,1-Yes,9.26
KAVOD ELEMENTARY CHARTER,California,CALIFORNIA,063432013201,San Diego,CA ,92123,2-No,2-No,16.11
KAWAIKINI - NCPCS,Hawaii,HAWAII,150003000294,Lihue,HI ,96766,1-Yes,1-Yes,13.04
KAWAMEEH MIDDLE SCHOOL,New Jersey,NEW JERSEY,341650005746,UNION,NJ ,07083,2-No,2-No,11.18
KAWANA SPRINGS ELEMENTARY,California,CALIFORNIA,060438000394,Santa Rosa,CA ,95404,2-No,2-No,21.56
KAWEAH HIGH,California,CALIFORNIA,060142301505,Exeter,CA ,93221,1-Yes,1-Yes,26.15
KAX_DIG_OOWU HEEN ELEMENTARY SCHOOL,Alaska,ALASKA,020021000265,Juneau,AK ,99801,2-No,2-No,14.27
KAY GRANGER EL,Texas,TEXAS,483318011530,KELLER,TX ,76248,2-No,2-No,16.52
KAY ROAD ELEMENTARY,Georgia,GEORGIA,130405002143,Byron,GA ,31008,2-No,2-No,16.29
KAY'S CREEK ELEMENTARY,UTAH,UTAH,490021001505,KAYSVILLE,UT ,84037,2-No,2-No,†
KAYCEE SCHOOL,Wyoming,WYOMING,560377000449,Kaycee,WY ,82639,1-Yes,1-Yes,7.60
KAYSVILLE JR HIGH,Utah,UTAH,490021000126,KAYSVILLE,UT ,84037,2-No,2-No,26.93
KAYSVILLE SCHOOL,Utah,UTAH,490021000127,KAYSVILLE,UT ,84037,2-No,2-No,26.60
KAZEN EL,Texas,TEXAS,484365005590,LAREDO,TX ,78041,2-No,2-No,15.38
KC INTERNATIONAL-WALLACE,Missouri,MISSOURI,290001302751,KANSAS CITY,MO ,64125,2-No,2-No,10.90
KC KIDS PRE-SCHOOL,California,CALIFORNIA,061970013511,Reedley,CA ,93654,–,–,–
KC LING ELEMENTARY SCHOOL,Michigan,MICHIGAN,261818005488,HEMLOCK,MI ,48626,2-No,2-No,17.00
KCISD - DAEP,Texas,TEXAS,482514011954,FLORESVILLE,TX ,78114,2-No,2-No,†
KCS ALTERNATIVE LEARNING,West Virginia,WEST VIRGINIA,540060000898,CHARLESTON,WV ,25311,1-Yes,1-Yes,15.54
KE ANA LAAHANA - PCS,Hawaii,HAWAII,150003000278,Hilo,HI ,96720,1-Yes,1-Yes,18.00
KE KULA NIIHAU O KEKAHA LEARNING CENTER,Hawaii,HAWAII,150003000280,Kekaha,HI ,96752,1-Yes,1-Yes,8.33
KE KULA O EHUNUIKAIMALINO,Hawaii,HAWAII,150003000287,Kealakekua,HI ,96750,1-Yes,1-Yes,18.17
KE KULA O NAWAHIOKALANIOPUU IKI - LABORATORY PCS,Hawaii,HAWAII,150003000284,Keaau,HI ,96749,2-No,2-No,15.49
KE KULA O SAMUEL M KAMAKAU - A LABORATORY PCS,Hawaii,HAWAII,150003000276,Kaneohe,HI ,96744,1-Yes,1-Yes,15.67
KEAAU ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000258,Keaau,HI ,96749,2-No,2-No,18.57
KEAAU HIGH SCHOOL,Hawaii,HAWAII,150003000260,Keaau,HI ,96749,1-Yes,1-Yes,15.20
KEAAU MIDDLE SCHOOL,Hawaii,HAWAII,150003000040,Keaau,HI ,96749,2-No,2-No,14.54
KEALAKEHE ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000041,Kailua-Kona,HI ,96740,2-No,2-No,15.57
KEALAKEHE HIGH SCHOOL,Hawaii,HAWAII,150003000254,Kailua-Kona,HI ,96740,1-Yes,1-Yes,18.57
KEALAKEHE INTERMEDIATE SCHOOL,Hawaii,HAWAII,150003000235,Kailua-Kona,HI ,96740,2-No,2-No,15.40
KEALING MIDDLE,Texas,TEXAS,480894006207,AUSTIN,TX ,78702,2-No,2-No,14.34
KEAN ELEMENTARY SCHOOL,Ohio,OHIO,391003202029,Wooster,OH ,44691,2-No,2-No,19.70
KEANSBURG EARLY LEARNING CENTER,New Jersey,NEW JERSEY,340786003882,KEANSBURG,NJ ,07734,2-No,2-No,–
KEANSBURG HIGH SCHOOL,New Jersey,NEW JERSEY,340786003880,KEANSBURG,NJ ,07734,1-Yes,1-Yes,9.14
KEARNEY EDUCATION CENTER,Nebraska,NEBRASKA,317239002253,KEARNEY,NE ,68845,2-No,2-No,10.60
KEARNEY ELEM.,Missouri,MISSOURI,291645000891,KEARNEY,MO ,64060,2-No,2-No,12.58
KEARNEY HIGH,Missouri,MISSOURI,291645000894,KEARNEY,MO ,64060,1-Yes,1-Yes,17.11
KEARNEY HIGH SCHOOL,Nebraska,NEBRASKA,317239001105,KEARNEY,NE ,68845,1-Yes,1-Yes,16.11
KEARNEY JR. HIGH,Missouri,MISSOURI,291645002531,KEARNEY,MO ,64060,2-No,2-No,17.11
KEARNEY MIDDLE,Missouri,MISSOURI,291645002872,KEARNEY,MO ,64060,2-No,2-No,13.38
KEARNEY MIDDLE SCHOOL,Colorado,COLORADO,080195000015,COMMERCE CITY,CO ,80022,2-No,2-No,20.34
KEARNS ACADEMY,North Carolina,NORTH CAROLINA,370192002989,High Point,NC ,27262,1-Yes,1-Yes,8.73
KEARNS HIGH,Utah,UTAH,490036000234,KEARNS,UT ,84118,1-Yes,1-Yes,34.71
KEARNS JR HIGH,Utah,UTAH,490036000235,KEARNS,UT ,84118,2-No,2-No,14.90
KEARNY COLLEGE CONNECTIONS,California,CALIFORNIA,063432011147,San Diego,CA ,92111,1-Yes,1-Yes,24.73
KEARNY DIGITAL MEDIA & DESIGN,California,CALIFORNIA,063432011145,San Diego,CA ,92111,1-Yes,1-Yes,24.14
KEARNY ELEMENTARY,New Mexico,NEW MEXICO,350237000548,SANTA FE,NM ,87501,2-No,2-No,16.80
KEARNY ENG INNOV & DESIGN,California,CALIFORNIA,063432011148,San Diego,CA ,92111,1-Yes,1-Yes,21.97
KEARNY GEN PHILIP SCH,Pennsylvania,PENNSYLVANIA,421899003645,Philadelphia,PA ,19123,2-No,2-No,15.19
KEARNY HIGH SCHOOL,New Jersey,NEW JERSEY,340789002866,KEARNY,NJ ,07032,1-Yes,1-Yes,13.93
KEARNY SCHOOL OF BIOMEDICAL SCIENCE AND TECHNOLOGY,California,CALIFORNIA,063432011146,San Diego,CA ,92111,1-Yes,1-Yes,25.89
KEARSARGE REG. ELEM. SCHOOL AT NEW LONDON,New Hampshire,NEW HAMPSHIRE,330404000195,New London,NH ,03257,2-No,2-No,12.67
KEARSARGE REG. ELEMENTARY SCHOOL - BRADFORD,New Hampshire,NEW HAMPSHIRE,330404000192,Bradford,NH ,03221,2-No,2-No,10.94
KEARSARGE REGIONAL HIGH SCHOOL,New Hampshire,NEW HAMPSHIRE,330404000193,North Sutton,NH ,03260,1-Yes,1-Yes,11.10
KEARSARGE REGIONAL MIDDLE SCHOOL,New Hampshire,NEW HAMPSHIRE,330404000503,North Sutton,NH ,03260,2-No,2-No,10.37
KEARSARGE REGIONAL PRESCHOOL NEW LONDON,New Hampshire,NEW HAMPSHIRE,330404000687,New London,NH ,03257,2-No,2-No,17.50
KEARSLEY HIGH SCHOOL,Michigan,MICHIGAN,262007005692,FLINT,MI ,48506,1-Yes,1-Yes,21.58
KEATING ELEMENTARY SCHOOL,Oregon,OREGON,410171000034,Baker City,OR ,97814,2-No,2-No,16.03
KEAUKAHA ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000042,Hilo,HI ,96720,2-No,2-No,13.57
KEAVY ELEMENTARY SCHOOL,Kentucky,KENTUCKY,210321000864,Keavy,KY ,40737,2-No,2-No,18.69
KEC CENTRAL EFE 170,Illinois,ILLINOIS,170017802632,Malta,IL ,60150,1-Yes,1-Yes,0.98
KEC TARGETED SERVICES,Minnesota,†,273327003025,†,†,†,†,†,†
KECOUGHTAN HIGH,Virginia,VIRGINIA,510180000747,Hampton,VA ,23669,1-Yes,1-Yes,15.81
KEDRON ELEMENTARY SCHOOL,Georgia,GEORGIA,130213001174,Peachtree City,GA ,30269,2-No,2-No,14.12
KEE HIGH SCHOOL,Iowa,IOWA,191041000663,Lansing,IA ,52151,1-Yes,1-Yes,9.26
KEEBLE EC/PK/K,Texas,TEXAS,480771007920,HOUSTON,TX ,77037,2-No,2-No,18.91
KEEFE AVENUE ELEMENTARY,Wisconsin,WISCONSIN,550960001196,Milwaukee,WI ,53206,2-No,2-No,15.09
KEEFER CROSSING MIDDLE,Texas,TEXAS,483240008997,NEW CANEY,TX ,77357,2-No,2-No,15.02
KEELER SCHOOL,Michigan,MICHIGAN,262946008210,Redford,MI ,48240,1-Yes,1-Yes,7.26
KEELEY EL,Texas,TEXAS,482034021208,ROWLETT,TX ,75089,2-No,2-No,17.97
KEEMA SCHOOL FOR INDEPENDENT STUDY,California,CALIFORNIA,060133207240,Sacramento,CA ,95838,1-Yes,1-Yes,10.47
KEENAN EL,TEXAS,TEXAS,483126013384,MONTGOMERY,TX ,77316,–,–,†
KEENBURG ELEMENTARY,Tennessee,TENNESSEE,470051000160,Elizabethton,TN ,37643,2-No,2-No,12.73
KEENE (WILLIAM B.) ELEMENTARY SCHOOL,Delaware,DELAWARE,100020000117,Newark,DE ,19702,2-No,2-No,16.51
KEENE CENTRAL SCHOOL,New York,NEW YORK,361614001394,KEENE VALLEY,NY ,12943,1-Yes,1-Yes,7.20
KEENE EL,Texas,TEXAS,482523002819,KEENE,TX ,76059,2-No,2-No,14.57
KEENE ELEMENTARY SCHOOL,Ohio,OHIO,390464802568,Keene,OH ,43828,2-No,2-No,16.01
KEENE H S,Texas,TEXAS,482523006726,KEENE,TX ,76059,1-Yes,1-Yes,11.41
KEENE HIGH SCHOOL,New Hampshire,NEW HAMPSHIRE,330405000202,Keene,NH ,03431,1-Yes,1-Yes,11.85
KEENE J H,Texas,TEXAS,482523006727,KEENE,TX ,76059,2-No,2-No,11.26
KEENE JJAEP,Texas,TEXAS,482523010860,KEENE,TX ,76059,–,–,†
KEENE MIDDLE SCHOOL,New Hampshire,NEW HAMPSHIRE,330405000203,Keene,NH ,03431,2-No,2-No,12.31
KEENE MILL ELEMENTARY,Virginia,VIRGINIA,510126000508,Springfield,VA ,22152,2-No,2-No,20.48
KEENE-RIVERVIEW ELEMENTARY,Washington,WASHINGTON,530690001014,Prosser,WA ,99350,2-No,2-No,17.11
KEENES CROSSING ELEMENTARY,Florida,FLORIDA,120144007567,WINDERMERE,FL ,34786,2-No,2-No,14.91
KEENEY SCHOOL,Connecticut,CONNECTICUT,090231000422,Manchester,CT ,06040,2-No,2-No,12.45
KEESEVILLE PRIMARY SCHOOL,New York,NEW YORK,361617001397,KEESEVILLE,NY ,12944,2-No,2-No,12.07
KEET GOOSHI HEEN ELEMENTARY,Alaska,ALASKA,020024000638,Sitka,AK ,99835,2-No,2-No,13.45
KEETH ELEMENTARY SCHOOL,Florida,FLORIDA,120171002410,WINTER SPRINGS,FL ,32708,2-No,2-No,14.59
KEEVEN ELEM.,Missouri,MISSOURI,291383000614,ST LOUIS,MO ,63136,2-No,2-No,14.58
KEEWAHDIN ELEMENTARY SCHOOL,Michigan,MICHIGAN,262883006468,FORT GRATIOT,MI ,48059,1-Yes,1-Yes,19.96
KEEWATIN-NASHWAUK ELEMENTARY SCHOOL,Minnesota,MINNESOTA,272331001136,KEEWATIN,MN ,55753,2-No,2-No,14.13
KEEWAYDIN DISCOVERY CENTER,Washington,WASHINGTON,530393002109,KENNEWICK,WA ,99336,2-No,2-No,15.00
KEGONSA ELEMENTARY,Wisconsin,WISCONSIN,551455001884,Stoughton,WI ,53589,2-No,2-No,14.03
KEGOTANK ELEMENTARY,Virginia,VIRGINIA,510006000009,Mappsville,VA ,23407,2-No,2-No,18.63
KEHELEY ELEMENTARY SCHOOL,Georgia,GEORGIA,130129001972,Marietta,GA ,30066,2-No,2-No,13.30
KEHRS MILL ELEM.,Missouri,MISSOURI,292685002567,CHESTERFIELD,MO ,63017,2-No,2-No,16.42
KEICHER ELEMENTARY SCHOOL,Michigan,MICHIGAN,262379006049,MICHIGAN CENTER,MI ,49254,2-No,2-No,15.06
KEIDAN SPECIAL EDUCATION CENTER,MICHIGAN,MICHIGAN,260110301922,DETROIT,MI ,48204,2-No,2-No,8.25
KEIGWIN MIDDLE SCHOOL,Connecticut,CONNECTICUT,090249000456,Middletown,CT ,06457,2-No,2-No,11.47
KEIKO DAVIDSON EL,Texas,TEXAS,482517012854,KATY,TX ,77494,2-No,2-No,14.68
KEILLER LEADERSHIP ACADEMY,California,CALIFORNIA,063432005492,San Diego,CA ,92114,2-No,2-No,19.26
KEISTER ELEMENTARY,Virginia,VIRGINIA,510186000783,Harrisonburg,VA ,22801,2-No,2-No,14.45
KEITH B. BRIGHT HIGH (JUVENILE HALL),California,CALIFORNIA,060140904490,Bishop,CA ,93514,1-Yes,1-Yes,1.92
KEITH BOVENSCHEN SCHOOL,Michigan,MICHIGAN,268072000619,WARREN,MI ,48089,1-Yes,1-Yes,6.91
KEITH EL,Texas,TEXAS,481611010731,CYPRESS,TX ,77433,2-No,2-No,18.93
KEITH ELEMENTARY SCHOOL,Michigan,MICHIGAN,263516007077,WEST BLOOMFIELD,MI ,48324,2-No,2-No,19.94
KEITH LUTZ HORIZON HIGH SCHOOL,Nebraska,NEBRASKA,317374001814,OMAHA,NE ,68022,2-No,2-No,–
KEITH MCCARTHY ACADEMY,California,CALIFORNIA,060002712094,Lake Elsinore,CA ,92530,1-Yes,1-Yes,20.62
KEITH MIDDLE SCHOOL,Massachusetts,MASSACHUSETTS,250843001334,New Bedford,MA ,02740,2-No,2-No,13.10
KEITH MIDDLEHIGH SCHOOL,Alabama,ALABAMA,010111000402,Orrville,AL ,36767,1-Yes,1-Yes,13.75
KEITH VALLEY MS,Pennsylvania,PENNSYLVANIA,421161006639,Horsham,PA ,19044,2-No,2-No,11.93
KEITHVILLE ELEMENTARY/MIDDLE SCHOOL,Louisiana,LOUISIANA,220030001918,Keithville,LA ,71047,2-No,2-No,16.34
KEIZER ELEMENTARY SCHOOL,Oregon,OREGON,411082000793,Keizer,OR ,97303,2-No,2-No,19.85
KEKAHA ELEMENTARY SCHOOL,Hawaii,HAWAII,150003000088,Kekaha,HI ,96752,2-No,2-No,15.91
KEKIONGA MIDDLE SCHOOL,Indiana,INDIANA,180363000537,Fort Wayne,IN ,46809,2-No,2-No,15.64
KELL GRADE SCHOOL,Illinois,ILLINOIS,172091002377,Kell,IL ,62853,2-No,2-No,9.25
KELL HIGH SCHOOL,Georgia,GEORGIA,130129002526,Marietta,GA ,30066,1-Yes,1-Yes,18.94
KELLAR PRIMARY SCHOOL,Illinois,ILLINOIS,173123003269,Peoria,IL ,61614,2-No,2-No,14.46
KELLAR SCHOOL,Illinois,ILLINOIS,173237001286,Robbins,IL ,60472,2-No,2-No,16.83
KELLER CENTER FOR ADVANCED LEARNING,TEXAS,TEXAS,482526013471,KELLER,TX ,76248,–,–,†
KELLER CHARLOTTE & JERRY ES,Nevada,NEVADA,320006000801,Las Vegas,NV ,89110,2-No,2-No,17.46
KELLER COMPASS CENTER,Texas,TEXAS,482526007071,KELLER,TX ,76248,1-Yes,1-Yes,2.58
KELLER DUANE D MS,Nevada,NEVADA,320006000462,Las Vegas,NV ,89110,2-No,2-No,21.19
KELLER EARLY LEARNING CENTER - NORTH,Texas,TEXAS,482526012410,KELLER,TX ,76244,2-No,2-No,18.38
KELLER EARLY LEARNING CENTER - SOUTH,TEXAS,TEXAS,482526013311,FORT WORTH,TX ,76137,2-No,2-No,15.15
KELLER EL,Texas,TEXAS,481168012099,BROWNSVILLE,TX ,78520,2-No,2-No,15.99
KELLER ELEM GIFTED MAGNET SCHOOL,Illinois,ILLINOIS,170993000860,Chicago,IL ,60655,2-No,2-No,18.69
KELLER ELEMENTARY,Wisconsin,WISCONSIN,550582000627,Green Bay,WI ,54303,2-No,2-No,12.64
KELLER ELEMENTARY,Michigan,MICHIGAN,263030002068,ROYAL OAK,MI ,48067,2-No,2-No,17.76
KELLER ELEMENTARY SCHOOL,Arizona,ARIZONA,040497001071,Mesa,AZ ,85204,2-No,2-No,16.08
KELLER ELEMENTARY SCHOOL,Washington,WASHINGTON,530387000586,KELLER,WA ,99140,2-No,2-No,9.30
KELLER ELEMENTARY SCHOOL,Colorado,COLORADO,080306000247,COLORADO SPRINGS,CO ,80918,2-No,2-No,19.07
KELLER H S,Texas,TEXAS,482526002822,KELLER,TX ,76248,1-Yes,1-Yes,17.61
KELLER MIDDLE,Texas,TEXAS,482526002823,KELLER,TX ,76248,2-No,2-No,17.44
KELLER MIDDLE,Texas,TEXAS,483432012135,PASADENA,TX ,77503,2-No,2-No,13.52
KELLER-HARVEL EL,Texas,TEXAS,482526002821,KELLER,TX ,76248,2-No,2-No,13.84
KELLEY EL,Texas,TEXAS,481464000954,COLORADO CITY,TX ,79512,2-No,2-No,†
KELLEY EL,Texas,TEXAS,481677001455,DENVER CITY,TX ,79323,2-No,2-No,12.33
KELLEY ES,Oklahoma,OKLAHOMA,402025000996,Moore,OK ,73160,2-No,2-No,16.98
KELLEY LAKE ELEMENTARY SCHOOL,Georgia,GEORGIA,130174000703,Decatur,GA ,30032,2-No,2-No,14.22
KELLEY SMITH ELEMENTARY SCHOOL,Florida,FLORIDA,120162001800,PALATKA,FL ,32177,2-No,2-No,17.69
KELLEY WILLIAM D SCH,Pennsylvania,PENNSYLVANIA,421899003626,Philadelphia,PA ,19121,2-No,2-No,16.08
KELLEYS ISLAND HIGH SCHOOL,Ohio,OHIO,390467904270,Kelleys Island,OH ,43438,2-No,2-No,†
KELLIHER ELEMENTARY,Minnesota,MINNESOTA,271701000786,KELLIHER,MN ,56650,2-No,2-No,12.61
KELLIHER SECONDARY,Minnesota,MINNESOTA,271701000787,KELLIHER,MN ,56650,1-Yes,1-Yes,8.65
KELLISON ELEM.,Missouri,MISSOURI,292685001623,FENTON,MO ,63026,2-No,2-No,13.84
